"","gene","score_avg","rank_avg"
"8257","KLF2",-3.066,14883.4
"8258","KLF3",-2.49,14158.7
"8259","KLF4",-4.531,15643.8
"8260","KLF5",-1.176,9620.9
"8261","KLF6",-1.067,9202
"8262","KLF7",-2.572,14438.6
"8263","KLF8",-1.359,10795.5
"8264","KLF9",-1.251,8677.8
"8265","KLHDC1",-1.013,8919
"8266","KLHDC10",-1.127,9110.6
"8267","KLHDC2",-1.08,8534.9
"8268","KLHDC3",-0.836,6852.2
"8269","KLHDC4",-1.177,9568.7
"8270","KLHDC7A",-0.355,3515
"8271","KLHDC7B",-0.711,6155.1
"8272","KLHDC8A",-0.47,4739.625
"8273","KLHDC8B",-1.97,13274.3
"8274","KLHDC9",-0.999,8249.3
"8275","KLHL1",-0.05,887.4
"8276","KLHL10",-0.3,3294.85714285714
"8277","KLHL11",-0.654,5489.1
"8278","KLHL12",-0.939,7579.5
"8279","KLHL13",-0.532222222222222,5176.11111111111
"8280","KLHL14",-2.22666666666667,13789.4444444444
"8281","KLHL15",-0.877,7781.5
"8282","KLHL17",-0.594,5412.7
"8283","KLHL18",-1.768,10512
"8284","KLHL2",-1.28,10055.5
"8285","KLHL20",-1.061,8398
"8286","KLHL21",-0.932,7664.8
"8287","KLHL22",-0.883,7299.4
"8288","KLHL23",-1.37,9211.4
"8289","KLHL24",-1.051,8466.1
"8290","KLHL25",-1.229,9634.6
"8291","KLHL26",-0.624,5823.5
"8292","KLHL28",-1.089,7939.5
"8293","KLHL29",-0.552222222222222,5262.44444444444
"8294","KLHL3",-1.303,10109
"8295","KLHL30",-0.207142857142857,2869.42857142857
"8296","KLHL31",-0.4275,5035.125
"8297","KLHL32",-0.784444444444444,6780.66666666667
"8298","KLHL33",-0.26,3161.57142857143
"8299","KLHL34",-1.0425,7464.25
"8300","KLHL35",-0.719,6458
"8301","KLHL36",-1.505,10526.3
"8302","KLHL38",-0.0825,1391.25
"8303","KLHL4",-1.35111111111111,8938.55555555555
"8304","KLHL40",-0.1425,1902.25
"8305","KLHL41",-0.127142857142857,1704.28571428571
"8306","KLHL42",-0.749,6560.5
"8307","KLHL5",-1.749,11660.4
"8308","KLHL6",-1.798,12560.4
"8309","KLHL7",-0.789,7365
"8310","KLHL8",-1.549,11850.8
"8311","KLHL9",-0.915,7284.5
"8312","KLK1",-1.955,11724.4
"8313","KLK10",-0.331111111111111,3334.88888888889
"8314","KLK11",-0.328571428571429,3311.57142857143
"8315","KLK12",-0.162,2428.6
"8316","KLK13",-0.378333333333333,4316.5
"8317","KLK14",-0.226,2578.2
"8318","KLK15",-0.253333333333333,3192.33333333333
"8319","KLK2",-0.275714285714286,3623.85714285714
"8320","KLK3",-0.24,2160.75
"8321","KLK4",-0.156666666666667,2212.33333333333
"8322","KLK5",-1.355,9172.66666666667
"8323","KLK6",-0.854285714285714,7087.42857142857
"8324","KLK7",-0.387142857142857,3692.57142857143
"8325","KLK8",-0.235714285714286,2580.42857142857
"8326","KLKB1",-0.53875,4914
"8327","KLLN",-0.41875,4275.125
"8328","KLRB1",-3.115,14706.2
"8329","KLRC1",-5.17,15688.2
"8330","KLRC2",-4.089,15315.9
"8331","KLRC3",-2.98444444444444,12825.3333333333
"8332","KLRC4",-2.943,13771.5
"8333","KLRC4.KLRK1",-2.88571428571429,12535.2857142857
"8334","KLRD1",-5.41,15765.9
"8335","KLRF1",-5.996,15894.6
"8336","KLRF2",-2.14142857142857,9476.28571428571
"8337","KLRG1",-3.723,15318.5
