"","min_2","max_other","target_score","gene","rank"
"CXorf66",0,0.01,-0.01,"CXorf66",358
"SPANXN2",0,0.01,-0.01,"SPANXN2",359
"HSFX2",0,0.01,-0.01,"HSFX2",360
"HSFX1",0,0.01,-0.01,"HSFX1",361
"GPR50",0,0.01,-0.01,"GPR50",362
"PRRG3",0,0.01,-0.01,"PRRG3",363
"MAGEA2B",0,0.01,-0.01,"MAGEA2B",364
"MAGEA2",0,0.01,-0.01,"MAGEA2",365
"CTAG1A",0,0.01,-0.01,"CTAG1A",366
"PRR23D1",0,0.01,-0.01,"PRR23D1",367
"SPAG11A",0,0.01,-0.01,"SPAG11A",368
"DEFB103A",0,0.01,-0.01,"DEFB103A",369
"PRSS55",0,0.01,-0.01,"PRSS55",370
"C8orf22",0,0.01,-0.01,"C8orf22",371
"BHLHE22",0,0.01,-0.01,"BHLHE22",372
"TCF24",0,0.01,-0.01,"TCF24",373
"EYA1",0,0.01,-0.01,"EYA1",374
"TRHR",0,0.01,-0.01,"TRHR",375
"HAS2",0,0.01,-0.01,"HAS2",376
"ANXA13",0,0.01,-0.01,"ANXA13",377
"LY6D",0,0.01,-0.01,"LY6D",378
"MAPK15",0,0.01,-0.01,"MAPK15",379
"DMRT2",0,0.01,-0.01,"DMRT2",380
"IFNA4",0,0.01,-0.01,"IFNA4",381
"IFNA2",0,0.01,-0.01,"IFNA2",382
"ELAVL2",0,0.01,-0.01,"ELAVL2",383
"CCIN",0,0.01,-0.01,"CCIN",384
"SPATA31E1",0,0.01,-0.01,"SPATA31E1",385
"BARX1",0,0.01,-0.01,"BARX1",386
"FOXE1",0,0.01,-0.01,"FOXE1",387
"OR13C3",0,0.01,-0.01,"OR13C3",388
"ACTL7A",0,0.01,-0.01,"ACTL7A",389
"OR1N1",0,0.01,-0.01,"OR1N1",390
"LCN15",0,0.01,-0.01,"LCN15",391
"GRIN1",0,0.01,-0.01,"GRIN1",392
"SLC34A3",0,0.01,-0.01,"SLC34A3",393
"OR52J3",0,0.01,-0.01,"OR52J3",394
"HBG1",0,0.01,-0.01,"HBG1",395
"OR52W1",0,0.01,-0.01,"OR52W1",396
"OR6A2",0,0.01,-0.01,"OR6A2",397
"NLRP10",0,0.01,-0.01,"NLRP10",398
"PTH",0,0.01,-0.01,"PTH",399
"MYOD1",0,0.01,-0.01,"MYOD1",400
"MRGPRX4",0,0.01,-0.01,"MRGPRX4",401
"MRGPRX2",0,0.01,-0.01,"MRGPRX2",402
"CSRP3",0,0.01,-0.01,"CSRP3",403
"OR4C46",0,0.01,-0.01,"OR4C46",404
"OR5L2",0,0.01,-0.01,"OR5L2",405
"OR5T1",0,0.01,-0.01,"OR5T1",406
"OR8H1",0,0.01,-0.01,"OR8H1",407
