"","min_2","max_other","target_score","gene","rank"
"DCAF12L2",0,0,0,"DCAF12L2",354
"SLC25A2",0,0,0,"SLC25A2",355
"PCDHA5",0,0,0,"PCDHA5",356
"OR4K14",0,0,0,"OR4K14",357
"PRIMA1",0,0,0,"PRIMA1",358
"UBQLN3",0,0,0,"UBQLN3",359
"OR8B8",0,0,0,"OR8B8",360
"MGAT4C",0,0,0,"MGAT4C",361
"KRTAP4.9",0,0,0,"KRTAP4.9",362
"FAM47A",0,0,0,"FAM47A",363
"SYT8",0,0,0,"SYT8",364
"DMRT2",0,0,0,"DMRT2",365
"DLGAP3",0.04,0.04,0,"DLGAP3",366
"ZNF804B",0,0,0,"ZNF804B",367
"ARHGDIG",0,0,0,"ARHGDIG",368
"OBP2B",0,0,0,"OBP2B",369
"TSPYL6",0,0,0,"TSPYL6",370
"ACCSL",0,0,0,"ACCSL",371
"C9",0,0,0,"C9",372
"ARTN",0,0,0,"ARTN",373
"ZPLD1",0,0,0,"ZPLD1",374
"KRTAP9.3",0,0,0,"KRTAP9.3",375
"SNTG1",0,0,0,"SNTG1",376
"OR5K3",0,0,0,"OR5K3",377
"HTN3",0,0,0,"HTN3",378
"PRSS35",0,0,0,"PRSS35",379
"CLDN24",0,0,0,"CLDN24",380
"OR56A4",0,0,0,"OR56A4",381
"DEFB124",0,0,0,"DEFB124",382
"KRT76",0,0,0,"KRT76",383
"SOX3",0,0,0,"SOX3",384
"CCDC158",0,0,0,"CCDC158",385
"TREML4",0,0,0,"TREML4",386
"AP3B2",0,0,0,"AP3B2",387
"OR9A2",0,0,0,"OR9A2",388
"FAM71C",0,0,0,"FAM71C",389
"KRT27",0,0,0,"KRT27",390
"GLYATL3",0,0,0,"GLYATL3",391
"GPR27",0,0,0,"GPR27",392
"OR8H3",0,0,0,"OR8H3",393
"VGLL2",0,0,0,"VGLL2",394
"IL36A",0,0,0,"IL36A",395
"LGI3",0,0,0,"LGI3",396
"TKTL2",0,0,0,"TKTL2",397
"IQCJ",0,0,0,"IQCJ",398
"ROBO2",0,0,0,"ROBO2",399
"NPY2R",0,0,0,"NPY2R",400
"SLC5A2",0.1,0.1,0,"SLC5A2",401
"CHRNA9",0,0,0,"CHRNA9",402
"SP5",0,0,0,"SP5",403
"HOXC6",0,0,0,"HOXC6",404
"DEFB136",0,0,0,"DEFB136",405
"SLC25A48",0,0,0,"SLC25A48",406
"METTL21C",0,0,0,"METTL21C",407
"RALYL",0,0,0,"RALYL",408
"DIRAS1",0,0,0,"DIRAS1",409
"CABS1",0,0,0,"CABS1",410
"NAT8L",0,0,0,"NAT8L",411
"C6orf15",0,0,0,"C6orf15",412
"P2RX3",0,0,0,"P2RX3",413
"ARSH",0,0,0,"ARSH",414
"ACADL",0,0,0,"ACADL",415
"TFAP2B",0,0,0,"TFAP2B",416
"FAM46D",0,0,0,"FAM46D",417
"SPRR2B",0,0,0,"SPRR2B",418
"CLCA1",0,0,0,"CLCA1",419
"KCNK10",0,0,0,"KCNK10",420
"UCN2",0,0,0,"UCN2",421
"OTUD7A",0,0,0,"OTUD7A",422
"TEX26",0,0,0,"TEX26",423
"C9orf135",0,0,0,"C9orf135",424
"CLCNKB",0,0,0,"CLCNKB",425
