"","min_2","max_other","target_score","gene","rank"
"WFDC10B",0,0.01,-0.01,"WFDC10B",303
"SSC5D",0,0.01,-0.01,"SSC5D",304
"IGSF10",0,0.01,-0.01,"IGSF10",305
"ILDR1",0,0.01,-0.01,"ILDR1",306
"HIST1H2BB",0,0.01,-0.01,"HIST1H2BB",307
"HOXA7",0,0.01,-0.01,"HOXA7",308
"RAB43",0,0.01,-0.01,"RAB43",309
"TFAP2E",0,0.01,-0.01,"TFAP2E",310
"GLDN",0,0.01,-0.01,"GLDN",311
"TUBB2B",0,0.01,-0.01,"TUBB2B",312
"RBM44",0,0.01,-0.01,"RBM44",313
"VSIG8",0,0.01,-0.01,"VSIG8",314
"IGLON5",0,0.01,-0.01,"IGLON5",315
"MAOA",0,0.01,-0.01,"MAOA",316
"MGP",0,0.01,-0.01,"MGP",317
"OVOL1",0,0.01,-0.01,"OVOL1",318
"PCDH1",0,0.01,-0.01,"PCDH1",319
"PCK1",0.01,0.02,-0.01,"PCK1",320
"MYO15A",0,0.01,-0.01,"MYO15A",321
"AHSP",0,0.01,-0.01,"AHSP",322
"ZMYND10",0,0.01,-0.01,"ZMYND10",323
"RAVER2",0,0.01,-0.01,"RAVER2",324
"PROX1",0,0.01,-0.01,"PROX1",325
"PLEKHG5",0,0.01,-0.01,"PLEKHG5",326
"CGN",0,0.01,-0.01,"CGN",327
"PRX",0,0.01,-0.01,"PRX",328
"TSKS",0,0.01,-0.01,"TSKS",329
"BGN",0,0.01,-0.01,"BGN",330
"C1S",0,0.01,-0.01,"C1S",331
"UCHL1",0,0.01,-0.01,"UCHL1",332
"WNT10B",0,0.01,-0.01,"WNT10B",333
"DBNDD1",0,0.01,-0.01,"DBNDD1",334
"EGFL8",0,0.01,-0.01,"EGFL8",335
"HIST1H2BM",0,0.01,-0.01,"HIST1H2BM",336
"KATNAL2",0,0.01,-0.01,"KATNAL2",337
"HIST1H3B",0,0.01,-0.01,"HIST1H3B",338
"SPARCL1",0,0.01,-0.01,"SPARCL1",339
"HPDL",0,0.01,-0.01,"HPDL",340
"CORO6",0,0.01,-0.01,"CORO6",341
"LRRC46",0,0.01,-0.01,"LRRC46",342
"BCAR1",0,0.01,-0.01,"BCAR1",343
"GTF2IRD1",0,0.01,-0.01,"GTF2IRD1",344
"IFT80",1.03,1.04,-0.01,"IFT80",345
"PEX19",1.44,1.45,-0.01,"PEX19",346
"TTC4",0.7,0.71,-0.01,"TTC4",347
"FAM118B",1.16,1.17,-0.01,"FAM118B",348
"NDUFA10",3.23,3.24,-0.0100000000000002,"NDUFA10",349
"SDHC",3.9,3.91,-0.0100000000000002,"SDHC",350
"KCNAB2",2.17,2.18,-0.0100000000000002,"KCNAB2",351
"MGME1",2.46,2.47,-0.0100000000000002,"MGME1",352
"SLFN5",4.07,4.09,-0.0199999999999996,"SLFN5",353
"FKBP8",4.15,4.17,-0.0199999999999996,"FKBP8",354
"KIAA1107",0.04,0.06,-0.02,"KIAA1107",355
"SCML2",0,0.02,-0.02,"SCML2",356
"UNC13B",0,0.02,-0.02,"UNC13B",357
"ADPRHL1",0,0.02,-0.02,"ADPRHL1",358
"KLHL32",0,0.02,-0.02,"KLHL32",359
"COL1A2",0,0.02,-0.02,"COL1A2",360
"ASB9",0,0.02,-0.02,"ASB9",361
"PIWIL4",0,0.02,-0.02,"PIWIL4",362
"ANKRD29",0,0.02,-0.02,"ANKRD29",363
"DACT3",0,0.02,-0.02,"DACT3",364
