"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"157","AC138647.1",NA,NA,NA,NA,NA,3457,NA,18095,NA,NA,10776
"158","AC138969.4",2184,NA,NA,NA,6018,NA,10430,2138,NA,NA,5192.5
"159","ACAA1",2833,6013,3384,11215,NA,13707,14152,10770,9644,6242,8662.22222222222
"160","ACAA2",5502,10967,6984,15583,NA,9018,7210,14261,2452,1889,8207.33333333333
"161","ACACA",3850,4744,9446,4673,NA,8792,5565,7475,1397,8367,6034.33333333333
"162","ACACB",13664,9259,7852,11454,NA,8983,11902,9471,8039,12412,10337.3333333333
"163","ACAD10",10187,9036,811,8957,NA,8969,9186,11835,8259,12885,8902.77777777778
"164","ACAD11",1539,10540,2764,13276,NA,15890,8907,6590,2862,3577,7327.22222222222
"165","ACAD8",7642,5412,9133,5549,NA,2765,4147,15319,2525,6738,6581.11111111111
"166","ACAD9",7858,4933,7179,10030,NA,16551,4120,6109,5129,3496,7267.22222222222
"167","ACADL",1095,415,NA,1941,NA,4098,486,10465,NA,NA,3083.33333333333
"168","ACADM",5907,11769,4682,10197,NA,9418,11943,12032,9734,8539,9357.88888888889
"169","ACADS",3656,14709,6270,11833,NA,11706,8258,12662,4335,6131,8840
"170","ACADSB",4845,11076,9691,12398,NA,10660,10640,3152,7210,7485,8573
"171","ACADVL",13292,10870,5611,12833,NA,13153,14411,16194,9306,10732,11822.4444444444
"172","ACAN",2803,2863,NA,4203,2778,8600,1648,8041,NA,1746,4085.25
"173","ACAP1",4422,2929,7245,10023,11445,4184,11922,5294,3639,2393,6349.6
"174","ACAP2",3910,7079,11741,9909,4883,10536,8056,14338,2655,5853,7896
"175","ACAP3",4767,12536,4861,1549,7702,5201,13138,6224,9875,4663,7051.6
"176","ACAT1",11530,14459,4366,14629,NA,13200,10776,17399,6754,5823,10992.8888888889
"177","ACAT2",1964,10011,7853,8660,12390,7048,3372,10124,75,4873,6637
"178","ACBD3",5387,8496,9106,6881,12231,10020,14206,18010,9042,11860,10523.9
"179","ACBD4",8624,6977,7789,11591,6426,510,13154,13643,6798,10700,8621.2
"180","ACBD5",6881,6282,1159,15480,6028,11215,2177,8626,1535,7204,6658.7
"181","ACBD7",1011,7186,NA,14584,3918,10572,3782,2807,NA,1241,5637.625
"182","ACCS",11644,14139,8013,13326,NA,13969,9336,12681,10482,9249,11426.5555555556
"183","ACCSL",NA,371,NA,2060,77,2662,NA,140,NA,NA,1062
"184","ACD",11210,15913,11690,6278,6484,11502,6838,9418,5099,4488,8892
"185","ACE",16286,15433,11883,17316,10903,17409,7325,6880,4147,10753,11833.5
"186","ACE2",473,348,NA,3528,749,215,NA,2250,NA,1724,1326.71428571429
"187","ACER1",7817,1714,NA,16109,10081,17924,5385,10073,NA,NA,9871.85714285714
"188","ACER2",3517,7040,NA,8384,4001,2766,540,2937,NA,5833,4377.25
"189","ACER3",14295,15520,12531,14593,14183,16828,13653,15818,11282,12229,14093.2
"190","ACHE",15207,16396,NA,7029,5247,15916,15401,16243,651,11228,11479.7777777778
"191","ACIN1",1996,5260,2621,7593,10593,11152,4442,3432,3055,5411,5555.5
"192","ACKR1",16649,NA,11551,NA,NA,18123,4356,6227,NA,14090,11832.6666666667
"193","ACKR2",6982,NA,9788,NA,4086,14586,3081,6143,NA,2923,6798.42857142857
"194","ACKR3",15199,NA,9134,NA,9959,16837,12657,6443,569,11115,10239.125
"195","ACKR4",8800,NA,1186,NA,1132,10742,4007,2013,NA,3987,4552.42857142857
"196","ACLY",6258,6344,1334,5765,NA,8793,127,9032,4545,769,4774.11111111111
"197","ACMSD",NA,1668,NA,733,78,1934,3204,13234,NA,NA,3475.16666666667
"198","ACO1",11263,13664,10597,15279,NA,11461,9705,11876,7736,4206,10643
"199","ACO2",9732,10464,5547,11138,NA,1090,11625,9505,5388,5733,7802.44444444444
"200","ACOT1",3528,9434,NA,11699,2414,1112,1513,4384,NA,215,4287.375
"201","ACOT11",8960,10695,10758,8002,10005,12371,11942,6225,6785,4643,9038.6
"202","ACOT12",NA,1265,NA,951,1326,275,1115,14184,NA,NA,3186
"203","ACOT13",13852,13947,5688,12042,NA,15030,14028,12734,8054,6648,11335.8888888889
"204","ACOT2",11500,13388,9722,14590,NA,10573,3671,2911,675,42,7452.44444444444
"205","ACOT4",3439,11868,1561,15744,6154,5439,8488,15232,3785,4248,7595.8
"206","ACOT6",598,195,NA,2956,NA,1218,NA,3331,NA,NA,1659.6
"207","ACOT7",16499,13120,11089,7705,NA,14965,15021,11137,11572,6104,11912.4444444444
"208","ACOT8",5623,6781,273,14063,8148,5880,4653,15526,2473,565,6398.5
"209","ACOT9",14129,12914,9866,8793,NA,9064,10832,10857,10522,10690,10851.8888888889
"210","ACOX1",11033,10103,11884,10591,NA,17912,7714,15725,9917,11457,11815.1111111111
"211","ACOX2",4461,3338,1625,11647,7288,3202,7411,8094,912,4744,5272.2
