"","min_2","max_other","target_score","gene","rank"
"VEPH1",0,0.01,-0.01,"VEPH1",491
"THPO",0,0.01,-0.01,"THPO",492
"LRRC66",0,0.01,-0.01,"LRRC66",493
"MEPE",0,0.01,-0.01,"MEPE",494
"PRSS12",0,0.01,-0.01,"PRSS12",495
"HHIP",0,0.01,-0.01,"HHIP",496
"DNAH5",0,0.01,-0.01,"DNAH5",497
"CAPSL",0,0.01,-0.01,"CAPSL",498
"ZNF474",0,0.01,-0.01,"ZNF474",499
"PCDHB4",0,0.01,-0.01,"PCDHB4",500
"PCDHB5",0,0.01,-0.01,"PCDHB5",501
"PCDHB8",0,0.01,-0.01,"PCDHB8",502
"SPINK6",0,0.01,-0.01,"SPINK6",503
"CAMK2A",0,0.01,-0.01,"CAMK2A",504
