"","min_2","max_other","target_score","gene","rank"
"SLITRK5",0,0.03,-0.03,"SLITRK5",534
"SMLR1",0,0.03,-0.03,"SMLR1",535
"SNTG1",0,0.03,-0.03,"SNTG1",536
"SPRR2A",0,0.03,-0.03,"SPRR2A",537
"SSMEM1",0.07,0.1,-0.03,"SSMEM1",538
"TDGF1",0,0.03,-0.03,"TDGF1",539
"TEKT3",0,0.03,-0.03,"TEKT3",540
"TEN1",0,0.03,-0.03,"TEN1",541
"THSD7B",0,0.03,-0.03,"THSD7B",542
"TMC2",0,0.03,-0.03,"TMC2",543
"TMEM151A",0,0.03,-0.03,"TMEM151A",544
"TRPV5",0,0.03,-0.03,"TRPV5",545
"UGT3A1",0,0.03,-0.03,"UGT3A1",546
"WNT3A",0,0.03,-0.03,"WNT3A",547
"ZIC4",0,0.03,-0.03,"ZIC4",548
"ZNF385B",0,0.03,-0.03,"ZNF385B",549
"FGF20",0.02,0.05,-0.03,"FGF20",550
"PGK2",0.04,0.07,-0.03,"PGK2",551
"SERPINA5",0.04,0.07,-0.03,"SERPINA5",552
"XXcos.LUCA11.5",0.04,0.07,-0.03,"XXcos.LUCA11.5",553
"PARPBP",0.88,0.91,-0.03,"PARPBP",554
"GBP5",6.35,6.38,-0.0300000000000002,"GBP5",555
"PA2G4",5,5.03,-0.0300000000000002,"PA2G4",556
"PCYT1A",2.88,2.91,-0.0300000000000002,"PCYT1A",557
"TIGIT",6.46,6.49,-0.0300000000000002,"TIGIT",558
"ADAMTS15",0.02,0.06,-0.04,"ADAMTS15",559
"ATP1A4",0.07,0.11,-0.04,"ATP1A4",560
"CNTN4",0.08,0.12,-0.04,"CNTN4",561
"PYGO1",0.05,0.09,-0.04,"PYGO1",562
"RXRG",0.02,0.06,-0.04,"RXRG",563
"AC114783.1",0,0.04,-0.04,"AC114783.1",564
